players,opponents,stat_type,line
kiNgg,NRG MAPS 1-2,MAPS 1-2 Kills,31.0
tex,NRG MAPS 1-2,MAPS 1-2 Kills,29.5
C0M,NRG MAPS 1-2,MAPS 1-2 Kills,27.0
Okeanos,NRG MAPS 1-2,MAPS 1-2 Kills,31.5
Sato,NRG MAPS 1-2,MAPS 1-2 Kills,34.5
Ethan,Leviatán MAPS 1-2,MAPS 1-2 Kills,29.5
s0m,Leviatán MAPS 1-2,MAPS 1-2 Kills,30.5
skuba,Leviatán MAPS 1-2,MAPS 1-2 Kills,30.5
mada,Leviatán MAPS 1-2,MAPS 1-2 Kills,35.5
brawk,Leviatán MAPS 1-2,MAPS 1-2 Kills,29.5
AtaKaptan,Team Vitality MAPS 1-2,MAPS 1-2 Kills,28.5
qRaxs,Team Vitality MAPS 1-2,MAPS 1-2 Kills,27.5
yetujey,Team Vitality MAPS 1-2,MAPS 1-2 Kills,31.5
xeus,Team Vitality MAPS 1-2,MAPS 1-2 Kills,34.5
MrFaliN,Team Vitality MAPS 1-2,MAPS 1-2 Kills,26.5
Derke,FUT Esports MAPS 1-2,MAPS 1-2 Kills,35.5
Sayf,FUT Esports MAPS 1-2,MAPS 1-2 Kills,30.5
CyvOph,FUT Esports MAPS 1-2,MAPS 1-2 Kills,31.5
Less,FUT Esports MAPS 1-2,MAPS 1-2 Kills,30.5
Kicks,FUT Esports MAPS 1-2,MAPS 1-2 Kills,25.5
Cloud,Apeks MAPS 1-2,MAPS 1-2 Kills,33.5
ara,Apeks MAPS 1-2,MAPS 1-2 Kills,33.5
westside,Apeks MAPS 1-2,MAPS 1-2 Kills,29.5
GRUBINHO,Apeks MAPS 1-2,MAPS 1-2 Kills,29.5
SimonD4rk,GIANTX MAPS 1-2,MAPS 1-2 Kills,34.5
batujnax,GIANTX MAPS 1-2,MAPS 1-2 Kills,28.5
AvovA,GIANTX MAPS 1-2,MAPS 1-2 Kills,25.5
MOLSI,GIANTX MAPS 1-2,MAPS 1-2 Kills,28.5
Tag,GIANTX MAPS 1-2,MAPS 1-2 Kills,27.5
Veqaj,KOI MAPS 1-2,MAPS 1-2 Kills,34.5
Proxh,KOI MAPS 1-2,MAPS 1-2 Kills,31.5
kamyk,KOI MAPS 1-2,MAPS 1-2 Kills,30.5
Minny,KOI MAPS 1-2,MAPS 1-2 Kills,32.5
Zyppan,KOI MAPS 1-2,MAPS 1-2 Kills,24.5
Filu,Gentle Mates MAPS 1-2,MAPS 1-2 Kills,32.5
MONSTEERR,Gentle Mates MAPS 1-2,MAPS 1-2 Kills,28.5
nataNk,Gentle Mates MAPS 1-2,MAPS 1-2 Kills,29.5
baddyG,Gentle Mates MAPS 1-2,MAPS 1-2 Kills,28.5
SUYGETSU,Natus Vincere MAPS 1-2,MAPS 1-2 Kills,30.5
Elite,Natus Vincere MAPS 1-2,MAPS 1-2 Kills,27.5
avez,Natus Vincere MAPS 1-2,MAPS 1-2 Kills,31.5
marteen,Natus Vincere MAPS 1-2,MAPS 1-2 Kills,36.5
Saadhak,Natus Vincere MAPS 1-2,MAPS 1-2 Kills,26.5
Ruxic,Karmine Corp MAPS 1-2,MAPS 1-2 Kills,33.5
hiro,Karmine Corp MAPS 1-2,MAPS 1-2 Kills,31.5
Shao,Karmine Corp MAPS 1-2,MAPS 1-2 Kills,30.5
koalanoob,Karmine Corp MAPS 1-2,MAPS 1-2 Kills,31.5
ANGE1,Karmine Corp MAPS 1-2,MAPS 1-2 Kills,23.0
